name,rating,Total Rating,Company Info,Highly Rated For,Critically Rated For
EPIQ Systems,3.7,(234),IT Services & Consulting | New York +6 other locations,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Cogenthub,2.8,(237),BPO | Kolkata +4 other locations,,"Promotions / Appraisal, Company Culture, Job Security"
Tata nexarc,3.1,(234),IT Services & Consulting | Mumbai +12 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Machino Plastics,3.8,(234),Auto Components | Gurgaon/Gurugram +10 other locations,,"Job Security, Promotions / Appraisal"
Deepak Phenolics,4.5,(234),Chemicals | Vadodara +11 other locations,"Job Security, Company Culture, Skill Development / Learning",
Spm Autocomp,3.6,(234),Auto Components | Gurgaon/Gurugram +12 other locations,,"Job Security, Promotions / Appraisal, Salary & Benefits"
Pitaara,4.2,(234),Food Processing | Kochi +50 other locations,"Company Culture, Job Security, Skill Development / Learning",
Birla Tyres,3.6,(233),Auto Components | Kolkata +55 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
Adroit Synergies,3.0,(234),BPO | Noida +4 other locations,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
Classplus,3.4,(233),Software Product | Noida +17 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Lincoln Pharmaceuticals,3.6,(234),Pharma | Ahmedabad +19 other locations,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Compunnel,3.8,(233),IT Services & Consulting | Plainsboro Township +13 other locations,,Promotions / Appraisal
Pitambari Products,4.2,(233),FMCG | Thane +49 other locations,"Company Culture, Salary & Benefits, Work Life Balance",
Zimetrics Technologies,4.5,(233),IT Services & Consulting | Pune +5 other locations,"Job Security, Company Culture, Skill Development / Learning",
Policyboss.com,3.2,(233),Insurance | Mumbai +35 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Balaji Wafers,4.4,(234),FMCG | Rajkot +38 other locations,"Job Security, Work Life Balance, Work Satisfaction",
Hardcastle Restaurants,4.0,(234),Hospitality | Mumbai +30 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",
Bal Pharma,3.4,(233),Pharma | Bangalore/Bengaluru +19 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Army Medical Corps,4.7,(233),Healthcare | Delhi/NCR +35 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",
KJS Cement,3.7,(233),Building Material | Satna +33 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
e-Solutions,3.5,(234),Recruitment | San Jose +18 other locations,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
R.K.M Powergen,4.0,(233),Power | Chennai +13 other locations,"Work Life Balance, Job Security",
National Petroleum Construction Company,4.2,(232),Oil & Gas | Abu Dhabi +23 other locations,"Skill Development / Learning, Job Security, Work Satisfaction",
Nimbus Harbor Facilities Management,3.9,(232),Facility Management Services | Gurgaon/Gurugram +17 other locations,Work Satisfaction,Promotions / Appraisal
Scaleneworks,3.5,(232),Recruitment | Bangalore +23 other locations,,"Promotions / Appraisal, Job Security"
Akbar Travels,4.0,(232),Travel & Tourism | Mumbai +34 other locations,"Job Security, Skill Development / Learning, Company Culture",
SAEL Industries Limited,4.1,(232),Power | New Delhi +32 other locations,"Skill Development / Learning, Salary & Benefits, Job Security",
GE Aviation,4.2,(232),Aviation | Cincinnati +8 other locations,"Company Culture, Work Life Balance, Job Security",
Tradebulls,3.0,(232),Financial Services | Mumbai +17 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Stefanini,3.0,(232),IT Services & Consulting | JaguariÃºna +11 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Incture Technologies,2.7,(233),IT Services & Consulting | Banglore +7 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
VIKRAN Engineering & Exim,4.1,(232),Engineering & Construction | Thane +47 other locations,"Work Life Balance, Salary & Benefits",
Aujas Cybersecurity – An NSEIT Company,3.8,(232),IT Services & Consulting | Bangalore/Bengaluru +11 other locations,Job Security,Promotions / Appraisal
Ador Welding,4.0,(232),Industrial Machinery | Mumbai +25 other locations,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal
Sequel Logistics,4.1,(232),Logistics | Bangalore/Bengaluru +39 other locations,"Salary & Benefits, Job Security, Work Satisfaction",
Rosenberger Electronic,4.1,(232),Electronics Manufacturing | Tittmoning +31 other locations,"Work Life Balance, Work Satisfaction, Company Culture",
Dinshaws,3.9,(232),Food Processing | Nagpur +44 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Yethi Consulting,3.2,(233),Bangalore/Bengaluru +10 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
LM Wind Power,4.0,(232),Power | Kolding +11 other locations,"Salary & Benefits, Skill Development / Learning, Company Culture",
Unibic Foods,3.8,(232),Food Processing | Bangalore +42 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Carnival Cinemas,3.2,(231),Media & Entertainment | Mumbai +59 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Dr.SNS Rajalakshmi College Of Arts and Science,5.0,(231),Education & Training | Coimbatore +1 other locations,"Job Security, Company Culture, Promotions / Appraisal",
Symphony,4.0,(231),Consumer Electronics & Appliances | Palo Alto +61 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
Eastern Condiments,3.9,(231),FMCG | Idukki +49 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Taco Bell,4.2,(231),Hospitality | Irvine +32 other locations,"Skill Development / Learning, Salary & Benefits, Company Culture",
GTL Limited,4.3,(231),Hardware & Networking | Mumbai +35 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Hero Electric,4.0,(231),Automobile | Gurgaon +34 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Workcell Solutions,3.6,(231),Pharma | Mumbai +15 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Global Edge Software,3.5,(231),Software Product | Bangalore +8 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Smaaash Entertainment,3.8,(231),Sports & Recreation | Mumbai +24 other locations,,"Job Security, Promotions / Appraisal"
Trelleborg,4.0,(231),Industrial Machinery | Trelleborg +8 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Itvedant Education,4.4,(231),Education & Training | Thane +9 other locations,"Company Culture, Skill Development / Learning, Work Satisfaction",
Way.com,4.8,(231),Internet | Fremont +3 other locations,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",
Hindustan Urvarak & Rasayan,3.1,(231),Agro Chemicals | Munger +17 other locations,,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
Garware Technical Fibres,3.8,(231),Fashion & Textile | Madurai +24 other locations,Job Security,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Wallace Pharmaceuticals,3.9,(231),Pharma | Panaji/Panjim +41 other locations,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Skillmine Technology Consulting,3.6,(231),IT Services & Consulting | Bangalore/Bengaluru +13 other locations,,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
The Louis Berger Group,4.5,(231),Engineering & Construction | Montreal +33 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
Arvato,3.6,(231),IT Services & Consulting | Gütersloh +7 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Automotive Robotics (India),3.6,(232),East Peoria +5 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Captain Steel India Limited,4.5,(231),Iron & Steel | Kolkata +51 other locations,"Company Culture, Salary & Benefits, Work Life Balance",
SOPAN,4.0,(231),Industrial Machinery | Pune +29 other locations,"Job Security, Work Life Balance",
Vara United,3.7,(230),IT Services & Consulting | Mumbai +28 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Madras Radiators and Pressings Limited,3.9,(230),Auto Components | Coimbatore +9 other locations,"Skill Development / Learning, Work Satisfaction, Work Life Balance",Promotions / Appraisal
Viacom18 Media,3.5,(230),Media & Entertainment | Mumbai +11 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Yashi Consulting Services,3.9,(230),IT Services & Consulting | Jaipur +27 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",
ABCD,3.9,(230),Education & Training | Brooklyn +36 other locations,"Work Life Balance, Job Security, Promotions / Appraisal",
Lauritz Knudsen Electrical & Automation,4.3,(232),Ahmadnagar +54 other locations,"Skill Development / Learning, Work Satisfaction, Company Culture",Promotions / Appraisal
NAFFCO,3.4,(230),Law Enforcement & Security | Dubai +20 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
ICRA Analytics,3.5,(230),Analytics & KPO | Kolkata +4 other locations,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Decorpot,4.3,(230),Bangalore / Bengaluru +9 other locations,"Salary & Benefits, Work Life Balance, Job Security",
Central Institute of Mining and Fuel Research,4.0,(230),Education & Training | Dhanbad +16 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Cordova Publication,3.5,(230),Printing & Publishing | Delhi/NCR +49 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
Clifford Chance,3.8,(230),Legal | Gurgaon/Gurugram +3 other locations,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Corizo,4.0,(230),Education & Training | Bangalore / Bengaluru +8 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",
QDegrees,3.6,(230),Management Consulting | Jaipur +25 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Indira Gandhi International Airport,3.9,(230),Urban Transport | New Delhi +8 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Swiss Re,4.0,(230),Insurance | Zurich +6 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Kapston Services,4.6,(231),Recruitment | Hyderabad / Secunderabad +24 other locations,"Work Life Balance, Job Security, Salary & Benefits",
IM Gears,3.6,(231),Auto Components | Chennai +6 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
Seven Hills Hospital,3.8,(229),Healthcare | Mumbai +13 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
National Contracting Company,4.1,(229),Engineering & Construction | Al-Khobar +19 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
GITAM University,3.8,(230),Education & Training | Visakhapatnam +8 other locations,Work Life Balance,Promotions / Appraisal
Don Bosco School,3.7,(229),Education & Training | New Delhi +56 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Intercontinental Exchange,3.5,(229),FinTech | Atlanta +5 other locations,,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
Spectranet,3.6,(229),Telecom | Gurgaon/Gurugram +10 other locations,,"Promotions / Appraisal, Work Satisfaction, Job Security"
Don Bosco School,3.7,(229),Education & Training | New Delhi +56 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
AML RightSource,3.0,(230),IT Services & Consulting | Gurgaon / Gurugram +8 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
Rubicon Research,3.4,(229),Clinical Research | Atlanta +11 other locations,,"Promotions / Appraisal, Company Culture, Work Life Balance"
Karamtara Engineering,3.6,(229),Engineering & Construction | Mumbai +11 other locations,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Algonomy,3.9,(229),Software Product | Bangalore +6 other locations,"Work Life Balance, Work Satisfaction",
Elcamino Software,3.1,(229),BPO | Gurugram +6 other locations,,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
MARK EXHAUST SYSTEMS,4.0,(229),Auto Components | Gurgaon/Gurugram +10 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Asia-Pacific Institute of Management,3.9,(228),Education & Training | Delhi/NCR +12 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",
ATC Telecom Infrastructure,4.2,(228),Telecom | New Delhi +46 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Superhouse,3.5,(228),Leather | Unnao +10 other locations,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Softcell Technologies,4.1,(228),IT Services & Consulting | Mumbai +13 other locations,"Work Life Balance, Job Security, Company Culture",
Allianz,4.4,(228),Insurance | Munich +14 other locations,"Job Security, Company Culture, Work Life Balance",
Powerica,3.7,(228),Industrial Machinery | Mumbai +29 other locations,Job Security,"Work Satisfaction, Company Culture"
Aurigene Oncology Limited,4.3,(228),Biotechnology | Bangalore/Bengaluru +4 other locations,"Company Culture, Job Security, Work Life Balance",
Honda India Power Products,4.2,(228),Industrial Machinery | Greater Noida +24 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
VTP Realty,3.7,(228),Real Estate | Pune +1 other locations,,Promotions / Appraisal
FUJIFILM,4.1,(228),Animation & VFX | Tokyo +27 other locations,"Salary & Benefits, Work Life Balance, Company Culture",
Muthoot Capital Services,3.9,(228),Financial Services | Kochi/Cochin +70 other locations,,"Promotions / Appraisal, Salary & Benefits"
Annexmed,3.2,(228),BPO | Chennai +5 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Wellness Forever Lifestyle Chemist,4.0,(228),Retail | Sangli +34 other locations,"Skill Development / Learning, Company Culture",
Tata Metaliks,3.9,(227),Iron & Steel | Kolkata +8 other locations,"Job Security, Work Life Balance, Skill Development / Learning",
Omninos Solutions,4.4,(227),Software Product | Chandigarh +23 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",
Sundaram Business Services,3.6,(227),BPO | Chennai +8 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Coolberg Beverages,3.4,(227),Beverage | Mumbai +36 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Himadri Speciality Chemical,3.9,(227),Chemicals | Kolkata +13 other locations,Job Security,Promotions / Appraisal
Mukand Limited,3.8,(227),Iron & Steel | Mumbai +15 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
El Seif Engineering Contracting,4.4,(227),Engineering & Construction | Riyadh +16 other locations,"Salary & Benefits, Work Life Balance, Company Culture",Promotions / Appraisal
Polyplex,4.3,(227),Packaging | Noida +13 other locations,"Job Security, Work Life Balance, Company Culture",
Anand Rathi Global Finance,3.5,(227),NBFC | Mumbai +35 other locations,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Fluentgrid,3.9,(227),IT Services & Consulting | Hyderabad/Secunderabad +31 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Escalon Business Services,3.7,(227),Accounting & Auditing | Mohali +6 other locations,,Promotions / Appraisal
Sandvik Mining and Rock Technology,4.2,(227),Industrial Machinery | Rajsamand +24 other locations,"Salary & Benefits, Job Security, Skill Development / Learning",
Hudson's Bay Company,4.0,(227),Retail | Brampton +5 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
Vitesco Technologies,4.3,(227),Auto Components | Regensburg +5 other locations,"Company Culture, Work Life Balance, Job Security",
Kharafi National,4.0,(226),Engineering & Construction | Cairo +19 other locations,"Job Security, Work Satisfaction, Company Culture",
IMSI,3.1,(226),Recruitment | Dehradun +40 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Eastern Software Systems,3.9,(226),IT Services & Consulting | Noida +6 other locations,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",
Munjal Kiriu Industries,3.5,(226),Auto Components | Gurgaon/Gurugram +7 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Weddingz.in,3.3,(226),Internet | Mumbai +32 other locations,,"Job Security, Promotions / Appraisal, Work Life Balance"
BDO RISE Private Limited,3.5,(226),Accounting & Auditing | Bangalore / Bengaluru +7 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Koyo Bearings India,4.1,(226),Auto Components | Gurgaon +7 other locations,"Job Security, Skill Development / Learning, Company Culture",
Amara Raja Power Systems,4.2,(226),Auto Components | Tirupati +36 other locations,"Job Security, Skill Development / Learning, Company Culture",
Creamline Dairy Products,4.3,,Food Processing | Hyderabad/Secunderabad +27 other locations,"Company Culture, Work Life Balance, Job Security",
Intertrust Group,3.5,,Financial Services | Bangalore / Bengaluru +7 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Avanze Technologies,2.9,(225),IT Services & Consulting | Orlando +4 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
VOIZ,4.3,(225),BPO | Bangalore / Bengaluru +6 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",
INDIAN PUBLIC SCHOOL,3.7,(225),Education & Training | Salem +39 other locations,,"Promotions / Appraisal, Salary & Benefits"
Pepe Jeans,4.4,(225),Fashion & Textile | Municipility of Sant Feliu de Llobregat +49 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Lucas Indian Service,3.9,(225),Auto Components | Chennai +44 other locations,Skill Development / Learning,Promotions / Appraisal
Walchandnagar Industries,3.6,(225),Industrial Machinery | Mumbai +11 other locations,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal, Company Culture"
Mobius Knowledge Services,3.5,(225),Printing & Publishing | Chennai +4 other locations,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Vyom Labs,3.2,(225),IT Services & Consulting | Pune +9 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Nuclear Power Corporation of India,4.1,(225),Power | Mumbai +23 other locations,"Job Security, Salary & Benefits, Work Life Balance",
AGI Glaspac,3.5,(225),Packaging | Hyderabad +6 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
L&T Water & Effluent Treatment,4.3,(225),Engineering & Construction | Tamluk +49 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
L&T Heavy Civil Infrastructure,4.3,(225),Engineering & Construction | Surat +32 other locations,"Skill Development / Learning, Job Security, Salary & Benefits",
Government of Maharashtra,4.0,(225),Government | Mumbai +56 other locations,"Job Security, Work Life Balance, Skill Development / Learning",
Sonalika Group of Companies,4.0,(225),Automobile | Hoshiarpur +37 other locations,Job Security,Promotions / Appraisal
Elico Healthcare Services,2.7,(225),Analytics & KPO | Hyderabad/Secunderabad +4 other locations,,"Salary & Benefits, Promotions / Appraisal, Company Culture"
Tata Play Fiber,4.1,(225),Broadcasting | Bhopal +30 other locations,"Salary & Benefits, Company Culture, Skill Development / Learning",
Reliance Home Finance,4.5,(224),NBFC | Mumbai +44 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",
Bajaj Hindusthan,4.2,(224),Food Processing | Mumbai +20 other locations,"Job Security, Work Life Balance, Work Satisfaction",
Sequential Technology International,3.9,(224),BPO | Windermere +4 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
InKnowTech,3.4,(224),IT Services & Consulting | Bangalore/Bengaluru +23 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Microsense,3.6,(224),IT Services & Consulting | Collegeville +27 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Pocket FM,3.1,(224),Media & Entertainment | Hyderabad / Secunderabad +11 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
Abbott Nutrition International,4.0,(224),Pharma | Chicago +50 other locations,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal
Innoviti Technologies Private Limited,3.2,(224),FinTech | Bangalore +36 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
Groz Engineering Tools,4.0,(224),Industrial Machinery | Gurgaon/Gurugram +20 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
UNIVO Education,3.4,(226),EdTech | Noida +5 other locations,,"Promotions / Appraisal, Job Security, Work Life Balance"
HM Group,4.5,(224),Real Estate | Bengaluru +3 other locations,"Work Life Balance, Salary & Benefits, Skill Development / Learning",
Woodenstreet.com,3.5,(225),Internet | Jaipur +21 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
Gufic Biosciences,3.3,(224),Pharma | Mumbai +30 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
ICICI Foundation for Inclusive Growth,3.9,(224),Non-Profit | Mumbai +59 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
TJSB Sahakari Bank,3.8,(224),Banking | Thane +26 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Munjal Auto Industries,3.6,(224),Auto Components | Gurgaon/Gurugram +12 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
WizKlub,3.0,(224),EdTech | Bangalore +9 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Forbes & Company,4.0,(223),Engineering & Construction | Mumbai +17 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
GfK MODE,3.3,(223),Analytics & KPO | Nuremberg +16 other locations,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Calsonic Kansei Motherson Auto Products,3.9,(223),Auto Components | Noida +11 other locations,Job Security,
Amara Raja Infra,4.0,(223),Engineering & Construction | Hyderabad +25 other locations,"Job Security, Company Culture, Salary & Benefits",
Bony Polymers,3.9,(223),Auto Components | Faridabad +13 other locations,,"Promotions / Appraisal, Salary & Benefits"
Indian Molasses Company,3.8,(223),Ports & Shipping | Chennai +36 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Xchanging,3.9,(223),IT Services & Consulting | London +10 other locations,"Job Security, Work Life Balance, Company Culture","Salary & Benefits, Promotions / Appraisal"
Cure foods,3.8,(223),Fitness & Wellness | Bangalore +22 other locations,,"Promotions / Appraisal, Job Security"
Roche Diagnostics,3.8,(223),Pharma | Basel +25 other locations,Salary & Benefits,"Promotions / Appraisal, Job Security"
Darwinbox,3.8,(223),Software Product | Hyderabad +11 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
PurpleTalk,3.9,(223),Gaming | Dallas +4 other locations,Skill Development / Learning,Promotions / Appraisal
VERITY GLOBAL SOLUTIONS,3.3,(223),Investment Banking / Venture Capital / Private Equity | Thane +9 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Yubi,3.6,(224),Financial Services | Chennai +10 other locations,"Salary & Benefits, Skill Development / Learning",
Evolve Technologies & Services,4.1,(222),Recruitment | Pune +42 other locations,Company Culture,Job Security
Four Points By Sheraton,4.3,(222),Hospitality | Bethesda +30 other locations,"Job Security, Company Culture, Skill Development / Learning",
Dnata,3.7,(222),Aviation | Dubai +18 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Jasper Colin,4.2,(222),Analytics & KPO | New York +8 other locations,"Salary & Benefits, Work Life Balance, Company Culture",
Paul Merchants,4.1,(222),NBFC | Chandigarh +72 other locations,"Work Life Balance, Company Culture, Job Security",
ESIC HOSPITAL,4.0,(222),Healthcare | Delhi/NCR +42 other locations,"Work Life Balance, Salary & Benefits, Work Satisfaction",
H&R Block,4.4,(222),Accounting & Auditing | Kansas City +10 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",
SHV Energy,3.9,(222),Oil & Gas | Hoofddorp +28 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Atul Auto,3.9,(222),Automobile | Rajkot +29 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security"
ESIC HOSPITAL,4.0,(222),Healthcare | Delhi/NCR +42 other locations,"Work Life Balance, Salary & Benefits, Work Satisfaction",
Van Heusen,4.1,(222),Fashion & Textile | New York +64 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
Netsmartz Infotech,4.0,(222),IT Services & Consulting | Pittsford +8 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
ATMECS Global,3.5,(223),IT Services & Consulting | Santa Clara +5 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
ecare India,3.7,(222),Analytics & KPO | Chennai +4 other locations,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal, Company Culture"
The Indian Hume Pipe Co.,4.0,(222),Building Material | Mumbai +45 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning"
Adani Logistics,3.6,(224),Ahmedabad +52 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Ozone Pharmaceuticals,3.7,(222),Pharma | New Delhi +25 other locations,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
KiwiTech,3.5,(222),IT Services & Consulting | Delhi +4 other locations,,"Job Security, Promotions / Appraisal, Salary & Benefits"
Savex Technologies,4.3,(222),Other | Mumbai +42 other locations,"Job Security, Company Culture, Work Life Balance",
Kaleesuwari Refinery,3.9,(222),Food Processing | Chennai +41 other locations,"Salary & Benefits, Job Security",Promotions / Appraisal
EbixCash,3.7,(223),New Delhi +45 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Arya Omnitalk,4.0,(222),Electronics Manufacturing | New Delhi +50 other locations,"Company Culture, Work Life Balance, Job Security",
Rupa,3.7,(221),Fashion & Textile | Kolkata +31 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Wirtgen India,4.2,(221),Industrial Machinery | Pune +26 other locations,"Company Culture, Work Life Balance, Job Security",
Decimal Point Analytics,2.9,(221),Analytics & KPO | Mumbai +7 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Internshala,3.9,(221),EdTech | Gurgaon / Gurugram +24 other locations,Work Life Balance,"Salary & Benefits, Promotions / Appraisal"
Airbnb,3.9,(221),Internet | San Francisco +8 other locations,"Salary & Benefits, Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
Cochin Shipyard,4.3,(221),Ports & Shipping | Ernakulam +11 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",
Arabian Construction Company,3.7,(221),Engineering & Construction | Beirut +25 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Polyhose,3.7,(221),Industrial Machinery | Chennai +13 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Kusum Healthcare,3.9,(221),Pharma | Delhi/NCR +6 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
Meghalaya Cements,4.0,(221),Building Material | Kolkata +11 other locations,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Indiabulls Real Estate,4.4,(221),Real Estate | Mumbai +21 other locations,"Work Life Balance, Work Satisfaction, Company Culture",
Sgs Tekniks Manufacturing,3.8,(221),Electronics Manufacturing | Gurgaon +11 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
DCM Shriram Industries,4.0,(221),Chemicals | new delhi +28 other locations,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
SMC Corporation,3.6,(220),Medical Equipment | Noblesville +36 other locations,,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
Broker Network,2.4,(220),Internet | Mumbai +14 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Huntsman International,4.3,(220),Chemicals | Texas +23 other locations,"Work Life Balance, Company Culture, Salary & Benefits",
Sun TV Network,3.6,(220),Media & Entertainment | Chennai +13 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Mindfire Solutions,4.1,(220),Software Product | Bhubaneswar +3 other locations,"Work Life Balance, Company Culture, Job Security",
Onkar Infotech,3.9,(220),BPO | Gurgaon/Gurugram +2 other locations,"Job Security, Work Satisfaction, Work Life Balance",Promotions / Appraisal
Indian Metals & Ferro Alloys,4.0,(220),Iron & Steel | Bhubaneswar +20 other locations,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Tata Green Batteries,4.0,(220),Auto Components | Pune +35 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
Sonata Finance,3.8,(220),Financial Services | Allahabad/Prayagraj +60 other locations,"Job Security, Company Culture",
