name,rating,Total Rating,Company Info,Highly Rated For,Critically Rated For
Delhivery,3.9,(5.8k),Logistics | Delhi +660 other locations,Skill Development / Learning,Promotions / Appraisal
Zydus Lifesciences,4.1,(5.8k),Pharma | Ahmedabad +157 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",
JPMorgan Chase & Co.,4.1,(5.8k),Financial Services | New York +37 other locations,"Job Security, Company Culture, Skill Development / Learning",
L&T Construction,4.0,(5.7k),Engineering & Construction | Chennai +371 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",Work Life Balance
Sun Pharmaceutical Industries,4.1,(5.6k),Pharma | Mumbai +218 other locations,"Salary & Benefits, Job Security, Skill Development / Learning",
Hexaware Technologies,3.6,(5.5k),IT Services & Consulting | Navi Mumbai +54 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
JSW Steel,3.9,(5.4k),Iron & Steel | Mumbai +154 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
ITC,4.0,(5.4k),FMCG | Kolkata +328 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
FIS,3.9,(5.4k),FinTech | Jacksonville +49 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
HCL Group,3.7,(5.3k),IT Services & Consulting | Pipariya +81 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Indian Army,4.7,(5.3k),Defence & Aerospace | New Delhi +339 other locations,"Job Security, Company Culture, Skill Development / Learning",
Hindustan Unilever,4.2,(5.3k),FMCG | London +459 other locations,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
KPMG India,3.5,(5.2k),Management Consulting | Lagos +91 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Max Life Insurance,4.1,(5.1k),Insurance | Gurgaon/Gurugram +426 other locations,"Skill Development / Learning, Company Culture, Job Security",
Ujjivan Small Finance Bank,4.1,(5.1k),Banking | Bangalore/Bengaluru +466 other locations,"Company Culture, Job Security, Skill Development / Learning",
IIFL Finance,4.0,(5.1k),NBFC | Mumbai +718 other locations,"Work Life Balance, Skill Development / Learning, Salary & Benefits",
Oracle,3.7,(5k),Emerging Technologies | Austin +51 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Udaan,4.0,(5k),Internet | Bangalore +343 other locations,"Salary & Benefits, Skill Development / Learning, Work Life Balance",Job Security
Tata Projects,4.3,(4.9k),Engineering & Construction | Mumbai +249 other locations,"Job Security, Company Culture, Salary & Benefits",
Ekart Logistics,4.0,(4.8k),San Francisco +651 other locations,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Megha Engineering & Infrastructures,3.9,(4.8k),Engineering & Construction | Hyderabad/Secunderabad +327 other locations,Job Security,Promotions / Appraisal
Muthoot Finance,3.6,(4.8k),NBFC | Kochi/Cochin +683 other locations,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
eClerx,3.4,(4.7k),IT Services & Consulting | Mumbai +21 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Omega Healthcare,3.8,(4.7k),BPO | Boca Raton +56 other locations,,"Promotions / Appraisal, Salary & Benefits"
Aurobindo Pharma,4.0,(4.6k),Pharma | Hyderabad/Secunderabad +96 other locations,"Job Security, Salary & Benefits, Work Life Balance",
JLL,4.1,(4.6k),Real Estate | Mumbai +72 other locations,"Job Security, Skill Development / Learning, Company Culture",
Bajaj Allianz Life Insurance,4.0,(4.6k),Insurance | Kochi +534 other locations,"Salary & Benefits, Work Life Balance, Job Security",
Siemens,4.1,(4.5k),Industrial Automation | Munich +139 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Shapoorji Pallonji Group,4.2,(4.5k),Engineering & Construction | Mumbai +178 other locations,"Job Security, Work Life Balance, Skill Development / Learning",
Coforge,3.4,(4.5k),IT Services & Consulting | Noida +92 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HSBC Group,4.0,(4.5k),Financial Services | Pune +53 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Indiamart Intermesh,3.6,(4.5k),Internet | Noida +148 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Virtusa Consulting Services,3.8,(4.5k),IT Services & Consulting | Southborough +42 other locations,,Promotions / Appraisal
L&T Technology Services,3.4,(4.5k),IT Services & Consulting | Vadodara/Baroda +66 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Ashok Leyland,4.1,(4.4k),Automobile | Chennai +224 other locations,"Skill Development / Learning, Work Satisfaction, Work Life Balance",Promotions / Appraisal
Apollo Hospitals,4.1,(4.4k),Healthcare | Chennai +197 other locations,"Job Security, Skill Development / Learning, Company Culture",
Firstsource Solutions,3.7,(4.4k),BPO | Mumbai +56 other locations,,"Promotions / Appraisal, Salary & Benefits"
Standard Chartered,3.8,(4.3k),Banking | London +62 other locations,Job Security,Promotions / Appraisal
DMart,4.0,(4.3k),Retail | Mumbai +218 other locations,"Job Security, Company Culture",Promotions / Appraisal
BigBasket,3.9,(4.3k),Internet | Bangalore +123 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
ICICI Lombard General Insurance Company,3.7,(4.3k),Insurance | Mumbai +274 other locations,,"Promotions / Appraisal, Work Satisfaction"
JustDial,3.5,(4.3k),Internet | Mumbai +191 other locations,,"Promotions / Appraisal, Work Satisfaction, Job Security"
CGI Group,4.0,(4.3k),IT Services & Consulting | Montreal +33 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Cyient,3.7,(4.3k),IT Services & Consulting | Hyderabad/Secunderabad +39 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
GlobalLogic,3.7,(4.3k),IT Services & Consulting | San Jose +45 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Hero MotoCorp,4.2,(4.3k),Automobile | Gurgaon/Gurugram +325 other locations,"Work Life Balance, Company Culture, Job Security",
Vivo,4.1,(4.2k),Consumer Electronics & Appliances | Gurgaon/Gurugram +384 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Mahindra Finance,4.1,(4.2k),NBFC | Mumbai +661 other locations,"Company Culture, Job Security, Work Life Balance",
Home Credit Finance,4.1,(4.2k),NBFC | Gurugram +120 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",
Cholamandalam Investment & Finance,4.0,(4.2k),Financial Services | Chennai +702 other locations,"Salary & Benefits, Job Security, Skill Development / Learning",
Eviden,3.6,(4.1k),IT Services & Consulting | New Delhi +33 other locations,,"Promotions / Appraisal, Salary & Benefits"
Bosch Global Software Technologies,4.0,(4.1k),Software Product | Gerlingen +32 other locations,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
UST,3.8,(4.1k),IT Services & Consulting | Aliso Viejo +38 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
Manappuram Finance,4.0,(4k),NBFC | Thrissur/Trichur +543 other locations,"Skill Development / Learning, Promotions / Appraisal",
OPPO,4.0,(4k),Consumer Electronics & Appliances | Dongguan +378 other locations,Skill Development / Learning,Promotions / Appraisal
Nagarro,4.0,(4k),IT Services & Consulting | Munich +40 other locations,"Work Life Balance, Company Culture, Salary & Benefits",
SMFG India Credit,4.0,(4k),NBFC | Mumbai +513 other locations,"Salary & Benefits, Job Security, Company Culture",
TVS Motor,4.0,(3.9k),Automobile | Chennai +292 other locations,"Skill Development / Learning, Salary & Benefits, Job Security",
SBI Cards & Payment Services,3.7,(3.9k),Financial Services | Gurgaon/Gurugram +373 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
IQVIA,3.9,(3.9k),Clinical Research | Durham +50 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Optum,4.0,(3.9k),Healthcare | Prairie +37 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Swiggy,3.8,(3.9k),Internet | Bangalore +198 other locations,Salary & Benefits,"Job Security, Promotions / Appraisal"
Kalpataru Projects International,4.2,(3.9k),Engineering & Construction | Mumbai +269 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
BNY,4.0,(3.9k),Financial Services | New York City +18 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
